Type,Count,Size,Threshold,Architecture,Mode
Total,10000000,2,100,CS_ARCH_TRICORE,CS_MODE_TRICORE_120
Disassembled,3855831,2,100,CS_ARCH_TRICORE,CS_MODE_TRICORE_120
Inflated,0,2,100,CS_ARCH_TRICORE,CS_MODE_TRICORE_120
Both,0,2,100,CS_ARCH_TRICORE,CS_MODE_TRICORE_120
Total,10000000,2,100,CS_ARCH_TRICORE,CS_MODE_TRICORE_160
Disassembled,4088285,2,100,CS_ARCH_TRICORE,CS_MODE_TRICORE_160
Inflated,0,2,100,CS_ARCH_TRICORE,CS_MODE_TRICORE_160
Both,0,2,100,CS_ARCH_TRICORE,CS_MODE_TRICORE_160
Total,10000000,2,100,CS_ARCH_TRICORE,CS_MODE_TRICORE_161
Disassembled,4092277,2,100,CS_ARCH_TRICORE,CS_MODE_TRICORE_161
Inflated,0,2,100,CS_ARCH_TRICORE,CS_MODE_TRICORE_161
Both,0,2,100,CS_ARCH_TRICORE,CS_MODE_TRICORE_161
Total,10000000,2,100,CS_ARCH_TRICORE,CS_MODE_TRICORE_162
Disassembled,4089548,2,100,CS_ARCH_TRICORE,CS_MODE_TRICORE_162
Inflated,0,2,100,CS_ARCH_TRICORE,CS_MODE_TRICORE_162
Both,0,2,100,CS_ARCH_TRICORE,CS_MODE_TRICORE_162
Total,10000000,2,95,CS_ARCH_ARM,CS_MODE_ARM
Disassembled,0,2,95,CS_ARCH_ARM,CS_MODE_ARM
Inflated,0,2,95,CS_ARCH_ARM,CS_MODE_ARM
Both,0,2,95,CS_ARCH_ARM,CS_MODE_ARM
Total,10000000,2,95,CS_ARCH_ARM,CS_MODE_THUMB
Disassembled,8927891,2,95,CS_ARCH_ARM,CS_MODE_THUMB
Inflated,9826,2,95,CS_ARCH_ARM,CS_MODE_THUMB
Both,0,2,95,CS_ARCH_ARM,CS_MODE_THUMB
Total,10000000,2,95,CS_ARCH_ARM,CS_MODE_MCLASS
Disassembled,0,2,95,CS_ARCH_ARM,CS_MODE_MCLASS
Inflated,0,2,95,CS_ARCH_ARM,CS_MODE_MCLASS
Both,0,2,95,CS_ARCH_ARM,CS_MODE_MCLASS
Total,10000000,2,95,CS_ARCH_ARM,CS_MODE_V8
Disassembled,0,2,95,CS_ARCH_ARM,CS_MODE_V8
Inflated,0,2,95,CS_ARCH_ARM,CS_MODE_V8
Both,0,2,95,CS_ARCH_ARM,CS_MODE_V8
Total,10000000,2,95,CS_ARCH_MIPS,CS_MODE_32
Disassembled,0,2,95,CS_ARCH_MIPS,CS_MODE_32
Inflated,0,2,95,CS_ARCH_MIPS,CS_MODE_32
Both,0,2,95,CS_ARCH_MIPS,CS_MODE_32
Total,10000000,2,95,CS_ARCH_MIPS,CS_MODE_64
Disassembled,0,2,95,CS_ARCH_MIPS,CS_MODE_64
Inflated,0,2,95,CS_ARCH_MIPS,CS_MODE_64
Both,0,2,95,CS_ARCH_MIPS,CS_MODE_64
Total,10000000,2,95,CS_ARCH_X86,CS_MODE_32
Disassembled,4303493,2,95,CS_ARCH_X86,CS_MODE_32
Inflated,0,2,95,CS_ARCH_X86,CS_MODE_32
Both,0,2,95,CS_ARCH_X86,CS_MODE_32
Total,10000000,2,95,CS_ARCH_X86,CS_MODE_64
