Type,Count,Size,Threshold,Architecture,Mode
Inflated,0,64,90,CS_ARCH_M680X,CS_MODE_M680X_6805
Both,0,64,90,CS_ARCH_M680X,CS_MODE_M680X_6805
Total,10000000,64,90,CS_ARCH_M680X,CS_MODE_M680X_6808
Disassembled,10000000,64,90,CS_ARCH_M680X,CS_MODE_M680X_6808
Inflated,0,64,90,CS_ARCH_M680X,CS_MODE_M680X_6808
Both,0,64,90,CS_ARCH_M680X,CS_MODE_M680X_6808
Total,10000000,64,90,CS_ARCH_M680X,CS_MODE_M680X_6809
Disassembled,10000000,64,90,CS_ARCH_M680X,CS_MODE_M680X_6809
Inflated,0,64,90,CS_ARCH_M680X,CS_MODE_M680X_6809
Both,0,64,90,CS_ARCH_M680X,CS_MODE_M680X_6809
Total,10000000,64,90,CS_ARCH_M680X,CS_MODE_M680X_6811
Disassembled,10000000,64,90,CS_ARCH_M680X,CS_MODE_M680X_6811
Inflated,0,64,90,CS_ARCH_M680X,CS_MODE_M680X_6811
Both,0,64,90,CS_ARCH_M680X,CS_MODE_M680X_6811
Total,10000000,64,90,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Disassembled,10000000,64,90,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Inflated,0,64,90,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Both,0,64,90,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Total,10000000,64,90,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Disassembled,10000000,64,90,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Inflated,0,64,90,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Both,0,64,90,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Total,10000000,64,90,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Disassembled,212115,64,90,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Inflated,0,64,90,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Both,0,64,90,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Total,10000000,64,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Disassembled,10000000,64,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Inflated,0,64,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Both,0,64,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Total,10000000,64,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Disassembled,10000000,64,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Inflated,0,64,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Both,0,64,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Total,10000000,64,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Disassembled,10000000,64,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Inflated,0,64,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Both,0,64,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Total,10000000,64,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Disassembled,10000000,64,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Inflated,0,64,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Both,0,64,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Total,10000000,64,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Disassembled,10000000,64,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Inflated,0,64,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Both,0,64,90,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Total,10000000,64,90,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Disassembled,47865,64,90,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Inflated,0,64,90,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Both,0,64,90,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Total,10000000,64,90,CS_ARCH_RISCV,CS_MODE_RISCVC
Disassembled,715866,64,90,CS_ARCH_RISCV,CS_MODE_RISCVC
Inflated,0,64,90,CS_ARCH_RISCV,CS_MODE_RISCVC
Both,0,64,90,CS_ARCH_RISCV,CS_MODE_RISCVC
Total,10000000,64,90,CS_ARCH_SH,CS_MODE_SH2
Disassembled,1717830,64,90,CS_ARCH_SH,CS_MODE_SH2
Inflated,0,64,90,CS_ARCH_SH,CS_MODE_SH2
Both,0,64,90,CS_ARCH_SH,CS_MODE_SH2
Total,10000000,64,90,CS_ARCH_SH,CS_MODE_SH3
Disassembled,2468976,64,90,CS_ARCH_SH,CS_MODE_SH3
Inflated,0,64,90,CS_ARCH_SH,CS_MODE_SH3
Both,0,64,90,CS_ARCH_SH,CS_MODE_SH3
Total,10000000,64,90,CS_ARCH_SH,CS_MODE_SH4
Disassembled,2615462,64,90,CS_ARCH_SH,CS_MODE_SH4
Inflated,0,64,90,CS_ARCH_SH,CS_MODE_SH4
Both,0,64,90,CS_ARCH_SH,CS_MODE_SH4
Total,10000000,64,90,CS_ARCH_SH,CS_MODE_SH4A
Disassembled,2663746,64,90,CS_ARCH_SH,CS_MODE_SH4A
Inflated,0,64,90,CS_ARCH_SH,CS_MODE_SH4A
Both,0,64,90,CS_ARCH_SH,CS_MODE_SH4A
Total,10000000,64,90,CS_ARCH_SH,CS_MODE_SHFPU
Disassembled,3398249,64,90,CS_ARCH_SH,CS_MODE_SHFPU
Inflated,0,64,90,CS_ARCH_SH,CS_MODE_SHFPU
Both,0,64,90,CS_ARCH_SH,CS_MODE_SHFPU
Total,10000000,64,90,CS_ARCH_SH,CS_MODE_SHDSP
Disassembled,3645129,64,90,CS_ARCH_SH,CS_MODE_SHDSP
Inflated,0,64,90,CS_ARCH_SH,CS_MODE_SHDSP
Both,0,64,90,CS_ARCH_SH,CS_MODE_SHDSP
Total,10000000,64,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_120
Disassembled,26312,64,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_120
Inflated,0,64,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_120
Both,0,64,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_120
Total,10000000,64,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_160
Disassembled,153180,64,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_160
Inflated,0,64,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_160
Both,0,64,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_160
Total,10000000,64,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_161
Disassembled,155802,64,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_161
Inflated,0,64,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_161
Both,0,64,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_161
Total,10000000,64,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_162
Disassembled,160313,64,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_162
Inflated,0,64,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_162
Both,0,64,90,CS_ARCH_TRICORE,CS_MODE_TRICORE_162
Total,10000000,64,85,CS_ARCH_ARM,CS_MODE_ARM
Disassembled,6467021,64,85,CS_ARCH_ARM,CS_MODE_ARM
Inflated,0,64,85,CS_ARCH_ARM,CS_MODE_ARM
Both,0,64,85,CS_ARCH_ARM,CS_MODE_ARM
Total,10000000,64,85,CS_ARCH_ARM,CS_MODE_THUMB
Disassembled,9830357,64,85,CS_ARCH_ARM,CS_MODE_THUMB
Inflated,50458,64,85,CS_ARCH_ARM,CS_MODE_THUMB
Both,22755,64,85,CS_ARCH_ARM,CS_MODE_THUMB
Total,10000000,64,85,CS_ARCH_ARM,CS_MODE_MCLASS
Disassembled,6463047,64,85,CS_ARCH_ARM,CS_MODE_MCLASS
Inflated,0,64,85,CS_ARCH_ARM,CS_MODE_MCLASS
Both,0,64,85,CS_ARCH_ARM,CS_MODE_MCLASS
Total,10000000,64,85,CS_ARCH_ARM,CS_MODE_V8
Disassembled,1415946,64,85,CS_ARCH_ARM,CS_MODE_V8
Inflated,0,64,85,CS_ARCH_ARM,CS_MODE_V8
Both,0,64,85,CS_ARCH_ARM,CS_MODE_V8
Total,10000000,64,85,CS_ARCH_MIPS,CS_MODE_32
Disassembled,272325,64,85,CS_ARCH_MIPS,CS_MODE_32
Inflated,0,64,85,CS_ARCH_MIPS,CS_MODE_32
Both,0,64,85,CS_ARCH_MIPS,CS_MODE_32
Total,10000000,64,85,CS_ARCH_MIPS,CS_MODE_64
Disassembled,3410010,64,85,CS_ARCH_MIPS,CS_MODE_64
Inflated,0,64,85,CS_ARCH_MIPS,CS_MODE_64
Both,0,64,85,CS_ARCH_MIPS,CS_MODE_64
Total,10000000,64,85,CS_ARCH_X86,CS_MODE_32
Disassembled,9999813,64,85,CS_ARCH_X86,CS_MODE_32
Inflated,0,64,85,CS_ARCH_X86,CS_MODE_32
Both,0,64,85,CS_ARCH_X86,CS_MODE_32
Total,10000000,64,85,CS_ARCH_X86,CS_MODE_64
Disassembled,9637690,64,85,CS_ARCH_X86,CS_MODE_64
Inflated,0,64,85,CS_ARCH_X86,CS_MODE_64
Both,0,64,85,CS_ARCH_X86,CS_MODE_64
Total,10000000,64,85,CS_ARCH_PPC,CS_MODE_32
Disassembled,2496095,64,85,CS_ARCH_PPC,CS_MODE_32
Inflated,0,64,85,CS_ARCH_PPC,CS_MODE_32
Both,0,64,85,CS_ARCH_PPC,CS_MODE_32
Total,10000000,64,85,CS_ARCH_PPC,CS_MODE_64
Disassembled,2496779,64,85,CS_ARCH_PPC,CS_MODE_64
Inflated,0,64,85,CS_ARCH_PPC,CS_MODE_64
Both,0,64,85,CS_ARCH_PPC,CS_MODE_64
Total,10000000,64,85,CS_ARCH_PPC,CS_MODE_QPX
Disassembled,2605488,64,85,CS_ARCH_PPC,CS_MODE_QPX
Inflated,0,64,85,CS_ARCH_PPC,CS_MODE_QPX
Both,0,64,85,CS_ARCH_PPC,CS_MODE_QPX
Total,10000000,64,85,CS_ARCH_PPC,CS_MODE_PS
Disassembled,3700630,64,85,CS_ARCH_PPC,CS_MODE_PS
Inflated,0,64,85,CS_ARCH_PPC,CS_MODE_PS
Both,0,64,85,CS_ARCH_PPC,CS_MODE_PS
Total,10000000,64,85,CS_ARCH_SYSZ,CS_MODE_LITTLE_ENDIAN
Disassembled,1322400,64,85,CS_ARCH_SYSZ,CS_MODE_LITTLE_ENDIAN
Inflated,0,64,85,CS_ARCH_SYSZ,CS_MODE_LITTLE_ENDIAN
Both,0,64,85,CS_ARCH_SYSZ,CS_MODE_LITTLE_ENDIAN
Total,10000000,64,85,CS_ARCH_XCORE,CS_MODE_LITTLE_ENDIAN
Disassembled,8390572,64,85,CS_ARCH_XCORE,CS_MODE_LITTLE_ENDIAN
Inflated,0,64,85,CS_ARCH_XCORE,CS_MODE_LITTLE_ENDIAN
Both,0,64,85,CS_ARCH_XCORE,CS_MODE_LITTLE_ENDIAN
Total,10000000,64,85,CS_ARCH_M68K,CS_MODE_LITTLE_ENDIAN
Disassembled,1434169,64,85,CS_ARCH_M68K,CS_MODE_LITTLE_ENDIAN
Inflated,0,64,85,CS_ARCH_M68K,CS_MODE_LITTLE_ENDIAN
Both,0,64,85,CS_ARCH_M68K,CS_MODE_LITTLE_ENDIAN
Total,10000000,64,85,CS_ARCH_M68K,CS_MODE_M68K_000
Disassembled,1435495,64,85,CS_ARCH_M68K,CS_MODE_M68K_000
Inflated,0,64,85,CS_ARCH_M68K,CS_MODE_M68K_000
Both,0,64,85,CS_ARCH_M68K,CS_MODE_M68K_000
Total,10000000,64,85,CS_ARCH_M68K,CS_MODE_M68K_010
Disassembled,1454876,64,85,CS_ARCH_M68K,CS_MODE_M68K_010
Inflated,0,64,85,CS_ARCH_M68K,CS_MODE_M68K_010
Both,0,64,85,CS_ARCH_M68K,CS_MODE_M68K_010
Total,10000000,64,85,CS_ARCH_M68K,CS_MODE_M68K_020
Disassembled,2975074,64,85,CS_ARCH_M68K,CS_MODE_M68K_020
Inflated,0,64,85,CS_ARCH_M68K,CS_MODE_M68K_020
Both,0,64,85,CS_ARCH_M68K,CS_MODE_M68K_020
Total,10000000,64,85,CS_ARCH_M68K,CS_MODE_M68K_030
Disassembled,2970177,64,85,CS_ARCH_M68K,CS_MODE_M68K_030
Inflated,0,64,85,CS_ARCH_M68K,CS_MODE_M68K_030
Both,0,64,85,CS_ARCH_M68K,CS_MODE_M68K_030
Total,10000000,64,85,CS_ARCH_M68K,CS_MODE_M68K_040
Disassembled,3096089,64,85,CS_ARCH_M68K,CS_MODE_M68K_040
Inflated,0,64,85,CS_ARCH_M68K,CS_MODE_M68K_040
Both,0,64,85,CS_ARCH_M68K,CS_MODE_M68K_040
Total,10000000,64,85,CS_ARCH_M68K,CS_MODE_M68K_060
Disassembled,3094440,64,85,CS_ARCH_M68K,CS_MODE_M68K_060
Inflated,0,64,85,CS_ARCH_M68K,CS_MODE_M68K_060
Both,0,64,85,CS_ARCH_M68K,CS_MODE_M68K_060
Total,10000000,64,85,CS_ARCH_TMS320C64X,CS_MODE_LITTLE_ENDIAN
Disassembled,1706003,64,85,CS_ARCH_TMS320C64X,CS_MODE_LITTLE_ENDIAN
Inflated,0,64,85,CS_ARCH_TMS320C64X,CS_MODE_LITTLE_ENDIAN
Both,0,64,85,CS_ARCH_TMS320C64X,CS_MODE_LITTLE_ENDIAN
Total,10000000,64,85,CS_ARCH_M680X,CS_MODE_M680X_6301
Disassembled,10000000,64,85,CS_ARCH_M680X,CS_MODE_M680X_6301
Inflated,0,64,85,CS_ARCH_M680X,CS_MODE_M680X_6301
Both,0,64,85,CS_ARCH_M680X,CS_MODE_M680X_6301
Total,10000000,64,85,CS_ARCH_M680X,CS_MODE_M680X_6309
Disassembled,10000000,64,85,CS_ARCH_M680X,CS_MODE_M680X_6309
Inflated,0,64,85,CS_ARCH_M680X,CS_MODE_M680X_6309
Both,0,64,85,CS_ARCH_M680X,CS_MODE_M680X_6309
Total,10000000,64,85,CS_ARCH_M680X,CS_MODE_M680X_6800
Disassembled,10000000,64,85,CS_ARCH_M680X,CS_MODE_M680X_6800
Inflated,0,64,85,CS_ARCH_M680X,CS_MODE_M680X_6800
Both,0,64,85,CS_ARCH_M680X,CS_MODE_M680X_6800
Total,10000000,64,85,CS_ARCH_M680X,CS_MODE_M680X_6801
Disassembled,10000000,64,85,CS_ARCH_M680X,CS_MODE_M680X_6801
Inflated,0,64,85,CS_ARCH_M680X,CS_MODE_M680X_6801
Both,0,64,85,CS_ARCH_M680X,CS_MODE_M680X_6801
Total,10000000,64,85,CS_ARCH_M680X,CS_MODE_M680X_6805
Disassembled,10000000,64,85,CS_ARCH_M680X,CS_MODE_M680X_6805
Inflated,0,64,85,CS_ARCH_M680X,CS_MODE_M680X_6805
Both,0,64,85,CS_ARCH_M680X,CS_MODE_M680X_6805
Total,10000000,64,85,CS_ARCH_M680X,CS_MODE_M680X_6808
Disassembled,10000000,64,85,CS_ARCH_M680X,CS_MODE_M680X_6808
Inflated,0,64,85,CS_ARCH_M680X,CS_MODE_M680X_6808
Both,0,64,85,CS_ARCH_M680X,CS_MODE_M680X_6808
Total,10000000,64,85,CS_ARCH_M680X,CS_MODE_M680X_6809
Disassembled,10000000,64,85,CS_ARCH_M680X,CS_MODE_M680X_6809
Inflated,0,64,85,CS_ARCH_M680X,CS_MODE_M680X_6809
Both,0,64,85,CS_ARCH_M680X,CS_MODE_M680X_6809
Total,10000000,64,85,CS_ARCH_M680X,CS_MODE_M680X_6811
Disassembled,10000000,64,85,CS_ARCH_M680X,CS_MODE_M680X_6811
Inflated,0,64,85,CS_ARCH_M680X,CS_MODE_M680X_6811
Both,0,64,85,CS_ARCH_M680X,CS_MODE_M680X_6811
Total,10000000,64,85,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Disassembled,10000000,64,85,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Inflated,0,64,85,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Both,0,64,85,CS_ARCH_M680X,CS_MODE_M680X_CPU12
Total,10000000,64,85,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Disassembled,10000000,64,85,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Inflated,0,64,85,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Both,0,64,85,CS_ARCH_M680X,CS_MODE_M680X_HCS08
Total,10000000,64,85,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Disassembled,810236,64,85,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Inflated,0,64,85,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Both,0,64,85,CS_ARCH_EVM,CS_MODE_LITTLE_ENDIAN
Total,10000000,64,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Disassembled,10000000,64,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Inflated,0,64,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Both,0,64,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65C02
Total,10000000,64,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Disassembled,10000000,64,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Inflated,0,64,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Both,0,64,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_W65C02
Total,10000000,64,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Disassembled,10000000,64,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Inflated,0,64,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Both,0,64,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Total,10000000,64,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Disassembled,10000000,64,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Inflated,0,64,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Both,0,64,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Total,10000000,64,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Disassembled,10000000,64,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Inflated,0,64,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Both,0,64,85,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Total,10000000,64,85,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Disassembled,416938,64,85,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Inflated,0,64,85,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Both,0,64,85,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Total,10000000,64,85,CS_ARCH_RISCV,CS_MODE_RISCVC
Disassembled,1635436,64,85,CS_ARCH_RISCV,CS_MODE_RISCVC
Inflated,0,64,85,CS_ARCH_RISCV,CS_MODE_RISCVC
Both,0,64,85,CS_ARCH_RISCV,CS_MODE_RISCVC
Total,10000000,64,85,CS_ARCH_SH,CS_MODE_SH2
Disassembled,3295990,64,85,CS_ARCH_SH,CS_MODE_SH2
Inflated,0,64,85,CS_ARCH_SH,CS_MODE_SH2
Both,0,64,85,CS_ARCH_SH,CS_MODE_SH2
Total,10000000,64,85,CS_ARCH_SH,CS_MODE_SH3
Disassembled,4327294,64,85,CS_ARCH_SH,CS_MODE_SH3
Inflated,0,64,85,CS_ARCH_SH,CS_MODE_SH3
Both,0,64,85,CS_ARCH_SH,CS_MODE_SH3
Total,10000000,64,85,CS_ARCH_SH,CS_MODE_SH4
Disassembled,4510284,64,85,CS_ARCH_SH,CS_MODE_SH4
Inflated,0,64,85,CS_ARCH_SH,CS_MODE_SH4
Both,0,64,85,CS_ARCH_SH,CS_MODE_SH4
Total,10000000,64,85,CS_ARCH_SH,CS_MODE_SH4A
Disassembled,4570782,64,85,CS_ARCH_SH,CS_MODE_SH4A
Inflated,0,64,85,CS_ARCH_SH,CS_MODE_SH4A
Both,0,64,85,CS_ARCH_SH,CS_MODE_SH4A
Total,10000000,64,85,CS_ARCH_SH,CS_MODE_SHFPU
Disassembled,5437997,64,85,CS_ARCH_SH,CS_MODE_SHFPU
Inflated,0,64,85,CS_ARCH_SH,CS_MODE_SHFPU
Both,0,64,85,CS_ARCH_SH,CS_MODE_SHFPU
Total,10000000,64,85,CS_ARCH_SH,CS_MODE_SHDSP
Disassembled,5711160,64,85,CS_ARCH_SH,CS_MODE_SHDSP
Inflated,0,64,85,CS_ARCH_SH,CS_MODE_SHDSP
Both,0,64,85,CS_ARCH_SH,CS_MODE_SHDSP
Total,10000000,64,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_120
Disassembled,92231,64,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_120
Inflated,0,64,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_120
Both,0,64,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_120
Total,10000000,64,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_160
Disassembled,437281,64,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_160
Inflated,0,64,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_160
Both,0,64,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_160
Total,10000000,64,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_161
Disassembled,443262,64,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_161
Inflated,0,64,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_161
Both,0,64,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_161
Total,10000000,64,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_162
Disassembled,455125,64,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_162
Inflated,0,64,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_162
Both,0,64,85,CS_ARCH_TRICORE,CS_MODE_TRICORE_162
Total,10000000,64,80,CS_ARCH_ARM,CS_MODE_ARM
Disassembled,8502924,64,80,CS_ARCH_ARM,CS_MODE_ARM
Inflated,0,64,80,CS_ARCH_ARM,CS_MODE_ARM
Both,0,64,80,CS_ARCH_ARM,CS_MODE_ARM
Total,10000000,64,80,CS_ARCH_ARM,CS_MODE_THUMB
Disassembled,9993598,64,80,CS_ARCH_ARM,CS_MODE_THUMB
Inflated,50363,64,80,CS_ARCH_ARM,CS_MODE_THUMB
Both,25917,64,80,CS_ARCH_ARM,CS_MODE_THUMB
Total,10000000,64,80,CS_ARCH_ARM,CS_MODE_MCLASS
Disassembled,8504716,64,80,CS_ARCH_ARM,CS_MODE_MCLASS
Inflated,0,64,80,CS_ARCH_ARM,CS_MODE_MCLASS
Both,0,64,80,CS_ARCH_ARM,CS_MODE_MCLASS
Total,10000000,64,80,CS_ARCH_ARM,CS_MODE_V8
Disassembled,3191681,64,80,CS_ARCH_ARM,CS_MODE_V8
Inflated,0,64,80,CS_ARCH_ARM,CS_MODE_V8
Both,0,64,80,CS_ARCH_ARM,CS_MODE_V8
Total,10000000,64,80,CS_ARCH_MIPS,CS_MODE_32
Disassembled,897122,64,80,CS_ARCH_MIPS,CS_MODE_32
Inflated,0,64,80,CS_ARCH_MIPS,CS_MODE_32
Both,0,64,80,CS_ARCH_MIPS,CS_MODE_32
Total,10000000,64,80,CS_ARCH_MIPS,CS_MODE_64
Disassembled,5866964,64,80,CS_ARCH_MIPS,CS_MODE_64
Inflated,0,64,80,CS_ARCH_MIPS,CS_MODE_64
Both,0,64,80,CS_ARCH_MIPS,CS_MODE_64
Total,10000000,64,80,CS_ARCH_X86,CS_MODE_32
Disassembled,9999999,64,80,CS_ARCH_X86,CS_MODE_32
Inflated,0,64,80,CS_ARCH_X86,CS_MODE_32
Both,0,64,80,CS_ARCH_X86,CS_MODE_32
Total,10000000,64,80,CS_ARCH_X86,CS_MODE_64
Disassembled,9964018,64,80,CS_ARCH_X86,CS_MODE_64
Inflated,0,64,80,CS_ARCH_X86,CS_MODE_64
Both,0,64,80,CS_ARCH_X86,CS_MODE_64
Total,10000000,64,80,CS_ARCH_PPC,CS_MODE_32
Disassembled,4769555,64,80,CS_ARCH_PPC,CS_MODE_32
Inflated,0,64,80,CS_ARCH_PPC,CS_MODE_32
Both,0,64,80,CS_ARCH_PPC,CS_MODE_32
Total,10000000,64,80,CS_ARCH_PPC,CS_MODE_64
Disassembled,4768331,64,80,CS_ARCH_PPC,CS_MODE_64
Inflated,0,64,80,CS_ARCH_PPC,CS_MODE_64
Both,0,64,80,CS_ARCH_PPC,CS_MODE_64
Total,10000000,64,80,CS_ARCH_PPC,CS_MODE_QPX
Disassembled,4905055,64,80,CS_ARCH_PPC,CS_MODE_QPX
Inflated,0,64,80,CS_ARCH_PPC,CS_MODE_QPX
Both,0,64,80,CS_ARCH_PPC,CS_MODE_QPX
Total,10000000,64,80,CS_ARCH_PPC,CS_MODE_PS
Disassembled,6177606,64,80,CS_ARCH_PPC,CS_MODE_PS
Inflated,0,64,80,CS_ARCH_PPC,CS_MODE_PS
Both,0,64,80,CS_ARCH_PPC,CS_MODE_PS
Total,10000000,64,80,CS_ARCH_SYSZ,CS_MODE_LITTLE_ENDIAN
Disassembled,3839820,64,80,CS_ARCH_SYSZ,CS_MODE_LITTLE_ENDIAN
Inflated,0,64,80,CS_ARCH_SYSZ,CS_MODE_LITTLE_ENDIAN
Both,0,64,80,CS_ARCH_SYSZ,CS_MODE_LITTLE_ENDIAN
Total,10000000,64,80,CS_ARCH_XCORE,CS_MODE_LITTLE_ENDIAN
Disassembled,9769303,64,80,CS_ARCH_XCORE,CS_MODE_LITTLE_ENDIAN
Inflated,0,64,80,CS_ARCH_XCORE,CS_MODE_LITTLE_ENDIAN
Both,0,64,80,CS_ARCH_XCORE,CS_MODE_LITTLE_ENDIAN
Total,10000000,64,80,CS_ARCH_M68K,CS_MODE_LITTLE_ENDIAN
Disassembled,4029032,64,80,CS_ARCH_M68K,CS_MODE_LITTLE_ENDIAN
Inflated,0,64,80,CS_ARCH_M68K,CS_MODE_LITTLE_ENDIAN
Both,0,64,80,CS_ARCH_M68K,CS_MODE_LITTLE_ENDIAN
Total,10000000,64,80,CS_ARCH_M68K,CS_MODE_M68K_000
Disassembled,4026797,64,80,CS_ARCH_M68K,CS_MODE_M68K_000
Inflated,0,64,80,CS_ARCH_M68K,CS_MODE_M68K_000
Both,0,64,80,CS_ARCH_M68K,CS_MODE_M68K_000
Total,10000000,64,80,CS_ARCH_M68K,CS_MODE_M68K_010
Disassembled,4065224,64,80,CS_ARCH_M68K,CS_MODE_M68K_010
Inflated,0,64,80,CS_ARCH_M68K,CS_MODE_M68K_010
Both,0,64,80,CS_ARCH_M68K,CS_MODE_M68K_010
Total,10000000,64,80,CS_ARCH_M68K,CS_MODE_M68K_020
Disassembled,6226662,64,80,CS_ARCH_M68K,CS_MODE_M68K_020
Inflated,0,64,80,CS_ARCH_M68K,CS_MODE_M68K_020
Both,0,64,80,CS_ARCH_M68K,CS_MODE_M68K_020
Total,10000000,64,80,CS_ARCH_M68K,CS_MODE_M68K_030
